Date,Centre_Name,Commodity_Name,Price
18-04-2000,AGARTALA,Potato,5
19-04-2000,AGARTALA,Potato,5
20-04-2000,AGARTALA,Potato,5
24-04-2000,AGARTALA,Potato,5
25-04-2000,AGARTALA,Potato,6
26-04-2000,AGARTALA,Potato,6
27-04-2000,AGARTALA,Potato,6
28-04-2000,AGARTALA,Potato,6
01-05-2000,AGARTALA,Potato,6
02-05-2000,AGARTALA,Potato,6
03-05-2000,AGARTALA,Potato,6
04-05-2000,AGARTALA,Potato,6
05-05-2000,AGARTALA,Potato,6
08-05-2000,AGARTALA,Potato,6
09-05-2000,AGARTALA,Potato,7
10-05-2000,AGARTALA,Potato,7
11-05-2000,AGARTALA,Potato,6
12-05-2000,AGARTALA,Potato,6
15-05-2000,AGARTALA,Potato,6
16-05-2000,AGARTALA,Potato,6
17-05-2000,AGARTALA,Potato,6
19-05-2000,AGARTALA,Potato,6
22-05-2000,AGARTALA,Potato,6
23-05-2000,AGARTALA,Potato,6
24-05-2000,AGARTALA,Potato,6
25-05-2000,AGARTALA,Potato,6
26-05-2000,AGARTALA,Potato,6
29-05-2000,AGARTALA,Potato,NA
30-05-2000,AGARTALA,Potato,6
31-05-2000,AGARTALA,Potato,6
01-06-2000,AGARTALA,Potato,6
02-06-2000,AGARTALA,Potato,6
05-06-2000,AGARTALA,Potato,7
06-06-2000,AGARTALA,Potato,7
07-06-2000,AGARTALA,Potato,7
08-06-2000,AGARTALA,Potato,7
09-06-2000,AGARTALA,Potato,7
12-06-2000,AGARTALA,Potato,6
13-06-2000,AGARTALA,Potato,6
14-06-2000,AGARTALA,Potato,6
16-06-2000,AGARTALA,Potato,7
19-06-2000,AGARTALA,Potato,8
20-06-2000,AGARTALA,Potato,8
21-06-2000,AGARTALA,Potato,8
22-06-2000,AGARTALA,Potato,8
23-06-2000,AGARTALA,Potato,8
26-06-2000,AGARTALA,Potato,7
27-06-2000,AGARTALA,Potato,7
28-06-2000,AGARTALA,Potato,7
29-06-2000,AGARTALA,Potato,7
30-06-2000,AGARTALA,Potato,7
03-07-2000,AGARTALA,Potato,7
04-07-2000,AGARTALA,Potato,7
05-07-2000,AGARTALA,Potato,7
06-07-2000,AGARTALA,Potato,7
07-07-2000,AGARTALA,Potato,7
10-07-2000,AGARTALA,Potato,7
11-07-2000,AGARTALA,Potato,7
12-07-2000,AGARTALA,Potato,7
13-07-2000,AGARTALA,Potato,7
14-07-2000,AGARTALA,Potato,7
17-07-2000,AGARTALA,Potato,7
18-07-2000,AGARTALA,Potato,7
19-07-2000,AGARTALA,Potato,7
20-07-2000,AGARTALA,Potato,7
21-07-2000,AGARTALA,Potato,7
24-07-2000,AGARTALA,Potato,7
